City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
5,Katherine,AU,89.92,clear sky,-14.4667,132.2667,Pine Tree Motel
8,Kathu,TH,81.7,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
11,Port Hedland,AU,80.65,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
13,Maragogi,BR,76.96,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
17,Poum,NC,75.69,clear sky,-20.2333,164.0167,Gîte kajeon
19,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
20,Cockburn Town,TC,82.06,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
26,Meulaboh,ID,77.38,light rain,4.1363,96.1285,Kost Pria
27,Shush,IR,78.75,overcast clouds,32.1942,48.2436,Mosque Zaman (AS) Cultural promised -Kanvn
28,Sola,VU,80.87,few clouds,-13.8833,167.55,Leumerus Bungalows
30,Ormara,PK,79.38,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
32,Butaritari,KI,81.81,light rain,3.0707,172.7902,Isles Sunset Lodge
33,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
36,Acapulco,MX,79.48,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
38,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
40,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
41,Wanlaweyn,SO,76.46,clear sky,2.6185,44.8938,GAASHAAN HOME
42,Cabatuan,PH,81.93,overcast clouds,10.8794,122.486,MVC Transient Room
47,Kavieng,PG,85.95,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
59,Palimbang,PH,85.57,scattered clouds,6.2106,124.1894,Felmar Beach resort
65,Sal Rei,CV,79.36,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
70,Luwuk,ID,85.32,few clouds,-0.9516,122.7875,Hotel Santika Luwuk
72,Atar,MR,80.6,clear sky,20.5169,-13.0499,Oumou Elghoura
73,Cabo San Lucas,MX,81.7,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
77,Hilo,US,80.33,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
78,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
90,San Patricio,US,77.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
92,Ibra,OM,75.4,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
