City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Date
0,Barrow,US,71.2906,-156.7887,24.82,80,1,14.97,clear sky,2021-11-01 01:27:36
1,Ushuaia,AR,-54.8,-68.3,46.06,76,0,9.22,clear sky,2021-11-01 01:23:47
2,Busselton,AU,-33.65,115.3333,56.08,62,94,18.41,overcast clouds,2021-11-01 01:25:32
3,Puerto Ayora,EC,-0.7393,-90.3518,69.6,90,44,7.31,scattered clouds,2021-11-01 01:27:36
4,Mataura,NZ,-46.1927,168.8643,61.63,49,100,10.96,overcast clouds,2021-11-01 01:27:36
5,Katherine,AU,-14.4667,132.2667,89.92,37,0,6.91,clear sky,2021-11-01 01:27:37
6,Jamestown,US,42.097,-79.2353,50.72,86,90,7.0,overcast clouds,2021-11-01 01:22:50
7,Richards Bay,ZA,-28.783,32.0377,63.45,91,100,5.91,overcast clouds,2021-11-01 01:27:37
8,Kathu,TH,7.9178,98.3332,81.7,99,38,8.14,scattered clouds,2021-11-01 01:27:37
9,Cape Town,ZA,-33.9258,18.4232,63.09,77,75,3.0,light rain,2021-11-01 01:24:48
10,Traverse City,US,44.7631,-85.6206,46.99,66,90,16.11,overcast clouds,2021-11-01 01:23:07
11,Port Hedland,AU,-20.3167,118.5667,80.65,57,40,10.36,scattered clouds,2021-11-01 01:27:38
12,Punta Arenas,CL,-53.15,-70.9167,50.11,53,0,8.05,clear sky,2021-11-01 01:27:38
13,Maragogi,BR,-9.0122,-35.2225,76.96,82,34,8.34,scattered clouds,2021-11-01 01:27:39
14,Albany,US,42.6001,-73.9662,55.74,78,100,1.99,overcast clouds,2021-11-01 01:27:22
15,Requena,ES,39.4883,-1.1004,68.52,83,100,27.02,overcast clouds,2021-11-01 01:27:39
16,Mahebourg,MU,-20.4081,57.7,70.25,88,40,3.44,scattered clouds,2021-11-01 01:27:39
17,Poum,NC,-20.2333,164.0167,75.69,70,0,18.39,clear sky,2021-11-01 01:23:41
